Category,State/UT,Juneviles Apprehended - Boys,Juneviles Apprehended - Girls,Juneviles Apprehended - Total,18 and above and below 30 years - Male,18 and above and below 30 years - Female,18 and above and below 30 years - Total,30 and above and below 45 years - Male,30 and above and below 45 years - Female,30 and above and below 45 years - Total,45 and above and below 60 years - Male,45 and above and below 60 years - Female,45 and above and below 60 years - Total,60 years and above - Male,60 years and above - Female,60 years and above - Total,Total   - Male,Total   - Female,Total   - Total Persons Arrested by age and Sex
State,Andhra Pradesh,1047,6,1053,40739,3897,44636,42308,4459,46767,16521,2025,18546,1182,203,1385,101797,10590,112387
State,Arunachal Pradesh,37,0,37,1113,19,1132,683,24,707,114,10,124,37,0,37,1984,53,2037
State,Assam,120,0,120,73528,581,74109,64095,777,64872,12140,45,12185,148,0,148,150031,1403,151434
State,Bihar,1442,0,1442,82980,4224,87204,62303,3638,65941,20386,1263,21649,189,7,196,167300,9132,176432
State,Chhattisgarh,1847,33,1880,35386,1888,37274,25614,2026,27640,10365,1260,11625,791,154,945,74003,5361,79364
State,Goa,32,0,32,1130,43,1173,841,79,920,322,34,356,46,8,54,2371,164,2535
State,Gujarat,2092,21,2113,76349,3713,80062,64975,5260,70235,22839,2377,25216,1770,392,2162,168025,11763,179788
State,Haryana,1393,2,1395,42016,1139,43155,28380,1299,29679,9059,605,9664,818,115,933,81666,3160,84826
State,Himachal Pradesh,203,0,203,4662,374,5036,4729,659,5388,2000,391,2391,427,133,560,12021,1557,13578
State,Jammu & Kashmir,389,3,392,13310,614,13924,14616,941,15557,5095,299,5394,268,11,279,33678,1868,35546
State,Jharkhand,77,0,77,18709,1153,19862,9326,956,10282,1976,217,2193,21,5,26,30109,2331,32440
State,Karnataka,516,4,520,50255,3365,53620,55262,5857,61119,19935,2550,22485,3184,515,3699,129152,12291,141443
State,Kerala,615,3,618,83771,908,84679,76927,2201,79128,36929,999,37928,9287,168,9455,207529,4279,211808
State,Madhya Pradesh,5418,38,5456,115098,5539,120637,79233,5787,85020,30891,2618,33509,3634,362,3996,234274,14344,248618
State,Maharashtra,5892,54,5946,135662,7736,143398,111251,9533,120784,40051,3912,43963,4139,673,4812,296995,21908,318903
State,Manipur,4,0,4,637,29,666,648,67,715,153,13,166,3,0,3,1445,109,1554
State,Meghalaya,38,0,38,1973,29,2002,1236,30,1266,345,2,347,3,0,3,3595,61,3656
State,Mizoram,19,0,19,1168,36,1204,790,52,842,183,28,211,16,9,25,2176,125,2301
State,Nagaland,6,0,6,460,8,468,559,12,571,91,3,94,11,0,11,1127,23,1150
State,Odisha,1379,27,1406,32915,1427,34342,7114,588,7702,1769,198,1967,31,7,38,43208,2247,45455
State,Punjab,247,2,249,20652,1229,21881,18589,1547,20136,6215,497,6712,339,35,374,46042,3310,49352
State,Rajasthan,2880,36,2916,78601,4506,83107,58256,4430,62686,23115,1657,24772,1839,129,1968,164691,10758,175449
State,Sikkim,1,0,1,329,13,342,315,22,337,33,2,35,4,0,4,682,37,719
State,Tamil Nadu,2898,11,2909,96565,12140,108705,127949,19715,147664,62969,10792,73761,6083,680,6763,296464,43338,339802
State,Telangana,1511,0,1511,29926,2725,32651,29755,2786,32541,7492,760,8252,372,32,404,69056,6303,75359
State,Tripura,29,0,29,1484,93,1577,1150,59,1209,465,12,477,4,0,4,3132,164,3296
State,Uttar Pradesh,937,1,938,207907,5715,213622,123907,6872,130779,39232,1925,41157,1287,69,1356,373270,14582,387852
State,Uttarakhand,87,0,87,2743,65,2808,5150,329,5479,985,13,998,9,0,9,8974,407,9381
State,West Bengal,438,12,450,49605,2916,52521,45483,3132,48615,13844,1210,15054,833,84,917,110203,7354,117557
State,TOTAL STATE(S),31594,253,31847,1299673,66124,1365797,1061444,83137,1144581,385514,35717,421231,36775,3791,40566,2815000,189022,3004022
UT,A & N Islands,13,0,13,251,14,265,204,13,217,71,5,76,18,1,19,557,33,590
UT,Chandigarh,205,0,205,1273,41,1314,623,48,671,288,31,319,40,13,53,2429,133,2562
UT,D & N Haveli,15,0,15,245,2,247,175,9,184,53,7,60,11,1,12,499,19,518
UT,Daman & Diu,16,0,16,212,1,213,122,3,125,36,2,38,4,0,4,390,6,396
UT,Delhi,3092,2,3094,54959,1004,55963,30510,847,31357,8973,269,9242,515,22,537,98049,2144,100193
UT,Lakshadweep,0,0,0,10,0,10,35,0,35,5,0,5,0,0,0,50,0,50
UT,Puducherry,12,2,14,1329,42,1371,2263,90,2353,543,17,560,0,0,0,4147,151,4298
UT,TOTAL UT(S),3353,4,3357,58279,1104,59383,33932,1010,34942,9969,331,10300,588,37,625,106121,2486,108607
Grand Total,TOTAL ALL INDIA,34947,257,35204,1357952,67228,1425180,1095376,84147,1179523,395483,36048,431531,37363,3828,41191,2921121,191508,3112629
